Date,Open,High,Low,Close,Adj Close,Volume,Event,Event Value
"Apr 8, 2026",143.13,143.56,140.74,141.78,141.78,5412135.0,,
"Apr 7, 2026",136.17,137.49,134.11,137.43,137.43,8397900.0,,
"Apr 6, 2026",136.48,137.25,135.71,136.78,136.78,10147600.0,,
"Apr 2, 2026",131.91,136.04,131.35,135.99,135.99,12266200.0,,
"Apr 1, 2026",134.12,136.05,133.76,134.91,134.91,17050100.0,,
"Mar 31, 2026",129.15,133.22,128.98,132.9,132.9,19405300.0,,
"Mar 30, 2026",131.27,131.55,126.68,127.5,127.5,18830000.0,,
"Mar 27, 2026",131.53,132.05,129.58,129.92,129.92,15895200.0,,
"Mar 26, 2026",135.18,135.52,132.42,132.5,132.5,15434600.0,,
"Mar 25, 2026",137.29,138.0,136.28,136.76,136.76,13872400.0,,
"Mar 24, 2026",136.05,136.92,134.87,136.15,136.15,16843900.0,,
"Mar 23, 2026",,,,,,,Dividend,0.168
"Mar 23, 2026",137.5,139.2,136.22,136.95,136.95,21818500.0,,
"Mar 20, 2026",137.98,137.98,134.32,135.29,135.12,27251800.0,,
"Mar 19, 2026",136.0,139.17,135.44,138.43,138.26,18087900.0,,
"Mar 18, 2026",139.31,140.07,137.93,137.96,137.79,12634500.0,,
"Mar 17, 2026",139.39,140.27,138.93,139.54,139.37,12034600.0,,
"Mar 16, 2026",138.72,140.08,138.52,138.78,138.61,16626400.0,,
"Mar 13, 2026",138.45,139.71,136.52,136.8,136.63,15701800.0,,
"Mar 12, 2026",139.27,139.75,137.65,137.84,137.67,32372800.0,,
"Mar 11, 2026",140.58,141.59,139.52,140.43,140.26,14009200.0,,
"Mar 10, 2026",139.84,141.39,139.02,139.76,139.59,24338500.0,,
"Mar 9, 2026",135.97,140.21,135.46,139.76,139.59,22760900.0,,
"Mar 6, 2026",137.82,139.83,136.79,137.29,137.12,19677200.0,,
"Mar 5, 2026",139.16,141.26,138.09,140.18,140.01,19422500.0,,
"Mar 4, 2026",138.53,140.63,138.04,139.84,139.67,15201400.0,,
"Mar 3, 2026",136.36,138.33,134.99,137.5,137.33,34153000.0,,
"Mar 2, 2026",137.03,139.96,136.56,139.54,139.37,20156700.0,,
"Feb 27, 2026",138.31,139.77,137.94,138.76,138.59,15328600.0,,
"Feb 26, 2026",142.94,143.01,139.26,141.01,140.83,19364900.0,,
"Feb 25, 2026",141.36,143.34,141.21,143.01,142.83,13296000.0,,
"Feb 24, 2026",139.24,140.94,138.19,140.32,140.15,13030600.0,,
"Feb 23, 2026",140.18,140.65,137.89,138.52,138.35,22021900.0,,
"Feb 20, 2026",139.2,141.75,138.97,140.88,140.71,14942400.0,,
"Feb 19, 2026",140.09,140.71,139.28,140.21,140.04,13484000.0,,
"Feb 18, 2026",140.06,142.12,139.27,140.91,140.74,13705800.0,,
"Feb 17, 2026",138.64,140.45,137.02,139.48,139.31,25743800.0,,
"Feb 13, 2026",139.56,140.91,137.93,139.56,139.39,26637100.0,,
"Feb 12, 2026",143.31,143.77,138.92,139.21,139.04,32154700.0,,
"Feb 11, 2026",144.51,144.76,141.32,142.97,142.79,18905700.0,,
"Feb 10, 2026",143.82,144.15,142.39,142.55,142.37,22564300.0,,
"Feb 9, 2026",140.6,144.03,139.91,143.35,143.17,24629500.0,,
"Feb 6, 2026",138.01,141.47,137.42,141.13,140.95,37131900.0,,
"Feb 5, 2026",137.22,138.48,135.08,135.63,135.46,42950900.0,,
"Feb 4, 2026",140.83,141.01,136.11,138.12,137.95,45649500.0,,
"Feb 3, 2026",145.88,145.97,140.17,142.08,141.9,30464500.0,,
"Feb 2, 2026",143.53,146.15,143.39,145.26,145.08,16337600.0,,
"Jan 30, 2026",146.04,146.75,142.99,143.88,143.7,18342600.0,,
"Jan 29, 2026",147.84,147.93,143.27,146.87,146.69,25581000.0,,
"Jan 29, 2026",147.84,147.93,143.27,146.87,146.69,25581000.0,,
"Jan 28, 2026",149.0,149.9,148.61,149.23,149.04,19497400.0,,
"Jan 27, 2026",147.42,148.62,147.03,148.05,147.87,12436200.0,,
"Jan 26, 2026",145.27,146.71,144.89,146.08,145.9,10195600.0,,
"Jan 23, 2026",144.53,145.83,143.75,145.09,144.91,14654500.0,,
"Jan 22, 2026",145.61,145.7,144.16,144.88,144.7,12971600.0,,
"Jan 21, 2026",142.78,145.04,141.96,143.81,143.63,27892800.0,,
"Jan 20, 2026",143.09,144.1,141.61,141.84,141.66,20029200.0,,
"Jan 16, 2026",146.72,146.95,145.02,145.62,145.44,14156700.0,,
"Jan 15, 2026",146.93,147.57,145.31,145.46,145.28,17370900.0,,
"Jan 14, 2026",145.5,145.93,143.32,144.7,144.52,22104200.0,,
"Jan 13, 2026",146.85,147.52,145.85,146.48,146.3,16552200.0,,
"Jan 12, 2026",145.19,147.29,145.05,146.79,146.61,12867200.0,,
"Jan 9, 2026",144.57,146.58,144.03,146.15,145.97,15652600.0,,
"Jan 8, 2026",145.93,145.93,143.5,144.24,144.06,16870100.0,,
"Jan 7, 2026",146.53,147.38,146.04,146.53,146.35,13957100.0,,
"Jan 6, 2026",145.21,146.77,144.63,146.65,146.47,14985700.0,,
"Jan 5, 2026",146.01,146.39,144.25,144.62,144.44,17476300.0,,
"Jan 2, 2026",145.63,146.52,143.41,144.3,144.12,15299500.0,,
"Dec 31, 2025",145.71,145.8,143.9,143.97,143.79,9528400.0,,
"Dec 30, 2025",145.85,146.26,145.38,145.41,145.23,6387400.0,,
"Dec 29, 2025",145.35,146.38,145.04,145.87,145.69,9822300.0,,
"Dec 26, 2025",146.61,146.98,146.24,146.53,146.35,5052900.0,,
"Dec 24, 2025",145.79,146.5,145.68,146.3,146.12,3676300.0,,
"Dec 23, 2025",144.74,145.98,144.36,145.95,145.77,7546100.0,,
"Dec 22, 2025",,,,,,,Dividend,0.219
"Dec 22, 2025",146.01,146.01,144.65,145.16,144.98,8864500.0,,
"Dec 19, 2025",142.59,144.62,142.57,144.6,144.2,14265900.0,,
"Dec 18, 2025",141.86,142.42,140.79,141.54,141.15,12319500.0,,
"Dec 17, 2025",142.72,142.84,139.32,139.39,139.01,18178700.0,,
"Dec 16, 2025",141.91,142.97,141.3,142.56,142.17,10790900.0,,
"Dec 15, 2025",144.42,144.63,142.02,142.3,141.91,10790300.0,,
"Dec 12, 2025",146.94,147.08,143.26,143.69,143.29,14873200.0,,
"Dec 11, 2025",147.06,148.13,145.11,147.97,147.56,9769300.0,,
"Dec 10, 2025",147.69,149.22,146.82,148.73,148.32,8961100.0,,
"Dec 9, 2025",147.34,148.25,146.96,148.02,147.61,6978200.0,,
"Dec 8, 2025",147.43,148.38,146.92,147.63,147.22,8272800.0,,
"Dec 5, 2025",,,,,,,Stock Splits,1
"Dec 5, 2025",146.21,147.31,145.69,146.6,146.2,6628000.0,,
"Dec 4, 2025",145.19,145.79,144.49,145.54,145.13,9995200.0,,
"Dec 3, 2025",143.95,145.1,143.23,144.99,144.6,11623200.0,,
"Dec 2, 2025",144.07,145.51,143.65,144.65,144.25,15719000.0,,
"Dec 1, 2025",141.72,143.6,141.29,143.18,142.78,12846600.0,,
"Nov 28, 2025",142.19,143.13,141.8,143.11,142.72,6792200.0,,
"Nov 26, 2025",141.88,142.49,140.79,141.89,141.5,13358800.0,,
"Nov 25, 2025",138.63,140.59,136.65,140.23,139.84,21303400.0,,
"Nov 24, 2025",137.52,140.35,137.43,139.85,139.47,20124800.0,,
"Nov 21, 2025",136.3,138.42,133.74,136.6,136.22,44959000.0,,
"Nov 20, 2025",143.72,144.26,135.76,136.07,135.7,56551800.0,,
"Nov 19, 2025",139.52,142.06,139.16,140.49,140.1,27668800.0,,
"Nov 18, 2025",140.6,141.32,138.24,139.51,139.13,36747600.0,,
"Nov 17, 2025",142.73,144.29,140.68,141.82,141.43,24675400.0,,
"Nov 14, 2025",140.65,145.38,140.15,144.07,143.68,27429600.0,,
"Nov 13, 2025",146.14,146.34,142.51,143.29,142.9,22385800.0,,
"Nov 12, 2025",147.73,147.73,146.07,146.96,146.56,13179200.0,,
"Nov 11, 2025",146.79,147.05,145.53,146.51,146.1,14871600.0,,
"Nov 10, 2025",146.65,148.04,145.9,147.76,147.36,18286400.0,,
"Nov 7, 2025",143.35,144.12,140.8,144.08,143.68,25547000.0,,
"Nov 6, 2025",147.31,147.47,143.84,144.58,144.18,24797400.0,,
"Nov 5, 2025",146.71,148.74,146.49,147.54,147.14,14447000.0,,
"Nov 4, 2025",148.23,149.2,146.73,146.97,146.57,16722600.0,,
"Nov 3, 2025",151.78,152.11,150.13,150.96,150.54,13983600.0,,
"Oct 31, 2025",151.71,151.82,149.47,150.34,149.93,16303800.0,,
"Oct 30, 2025",151.2,151.98,150.15,150.2,149.78,19218600.0,,
"Oct 29, 2025",152.35,152.99,150.93,152.07,151.65,21506200.0,,
"Oct 28, 2025",150.23,151.57,149.71,150.98,150.56,15055200.0,,
"Oct 27, 2025",148.85,149.63,148.61,149.5,149.09,15167000.0,,
"Oct 24, 2025",146.25,147.29,146.04,146.79,146.39,14359600.0,,
"Oct 23, 2025",142.18,144.77,142.18,144.54,144.15,11923400.0,,
"Oct 22, 2025",144.1,144.42,140.95,142.74,142.35,20723200.0,,
"Oct 21, 2025",144.01,144.68,143.48,144.17,143.77,12503800.0,,
"Oct 20, 2025",143.32,144.71,143.24,144.1,143.7,13805200.0,,
"Oct 17, 2025",141.41,142.93,140.51,142.51,142.11,25511600.0,,
"Oct 16, 2025",143.18,143.81,141.29,142.26,141.86,23166200.0,,
"Oct 15, 2025",142.73,143.29,140.4,142.15,141.76,20937600.0,,
"Oct 14, 2025",140.71,142.19,139.12,140.76,140.37,26956800.0,,
"Oct 13, 2025",142.37,143.06,141.55,142.59,142.19,22030400.0,,
"Oct 10, 2025",145.4,145.67,139.14,139.2,138.81,44574600.0,,
"Oct 9, 2025",145.28,145.41,144.35,145.1,144.7,11989400.0,,
"Oct 8, 2025",143.17,145.35,143.1,145.35,144.94,14037800.0,,
"Oct 7, 2025",144.54,144.75,142.09,142.84,142.45,15588400.0,,
"Oct 6, 2025",144.28,144.72,143.73,143.8,143.4,17945600.0,,
"Oct 3, 2025",143.21,143.94,141.87,142.36,141.97,17458000.0,,
"Oct 2, 2025",143.63,143.66,142.43,143.08,142.69,17607800.0,,
"Oct 1, 2025",140.21,142.41,140.17,142.31,141.92,17411200.0,,
"Sep 30, 2025",140.16,141.07,139.87,140.93,140.54,18215200.0,,
"Sep 29, 2025",140.22,140.96,139.84,140.16,139.78,16107400.0,,
"Sep 26, 2025",139.15,139.54,138.19,139.42,139.04,16534000.0,,
"Sep 25, 2025",137.98,139.35,137.13,139.0,138.62,21349600.0,,
"Sep 24, 2025",140.49,140.49,138.32,139.24,138.86,13471000.0,,
"Sep 23, 2025",141.13,141.37,139.49,140.11,139.72,16456400.0,,
"Sep 22, 2025",,,,,,,Dividend,0.179
"Sep 22, 2025",139.07,141.45,139.02,141.33,140.94,15771200.0,,
"Sep 19, 2025",138.62,139.59,138.16,139.46,138.9,15670800.0,,
"Sep 18, 2025",137.48,138.46,136.81,138.06,137.5,20882600.0,,
"Sep 17, 2025",136.1,136.26,134.31,135.71,135.17,18948600.0,,
"Sep 16, 2025",136.98,137.07,136.02,136.18,135.64,16081400.0,,
"Sep 15, 2025",135.65,136.69,135.49,136.66,136.11,16268000.0,,
"Sep 12, 2025",135.8,135.93,135.15,135.44,134.89,15612200.0,,
"Sep 11, 2025",135.93,136.12,135.31,135.53,134.98,23429200.0,,
"Sep 11, 2025",135.93,136.12,135.31,135.53,134.98,23429200.0,,
"Sep 10, 2025",135.35,135.99,134.43,135.07,134.53,25957200.0,,
"Sep 9, 2025",132.71,132.81,131.73,132.67,132.13,19355000.0,,
"Sep 8, 2025",132.12,132.9,132.09,132.41,131.88,20556000.0,,
"Sep 5, 2025",132.57,132.62,130.1,131.43,130.9,38561800.0,,
"Sep 4, 2025",130.14,131.38,129.61,131.32,130.79,24397400.0,,
"Sep 3, 2025",130.57,130.93,129.7,130.68,130.15,15636600.0,,
"Sep 2, 2025",128.9,130.02,128.14,129.9,129.38,18226000.0,,
"Aug 29, 2025",132.68,132.71,130.74,131.23,130.7,17481200.0,,
"Aug 28, 2025",132.38,133.55,131.73,133.27,132.73,12380600.0,,
"Aug 27, 2025",131.65,132.38,131.04,132.23,131.69,11538600.0,,
"Aug 26, 2025",131.02,131.69,130.84,131.51,130.98,11081000.0,,
"Aug 25, 2025",131.21,131.74,130.55,130.91,130.39,10691800.0,,
"Aug 22, 2025",129.32,132.07,128.96,131.21,130.68,13756000.0,,
"Aug 21, 2025",129.61,130.13,128.9,129.46,128.93,15148600.0,,
"Aug 20, 2025",130.48,130.48,127.92,129.93,129.4,23064200.0,,
"Aug 19, 2025",133.09,133.12,130.57,130.81,130.28,17367000.0,,
"Aug 18, 2025",132.68,133.26,132.55,133.13,132.6,12233800.0,,
"Aug 15, 2025",133.68,133.68,132.32,132.85,132.31,13373200.0,,
"Aug 14, 2025",133.48,134.32,133.16,133.87,133.32,15484400.0,,
"Aug 13, 2025",134.88,135.02,133.66,134.15,133.61,13990200.0,,
"Aug 12, 2025",132.72,134.14,131.99,134.1,133.56,11153800.0,,
"Aug 11, 2025",132.88,133.48,131.76,132.06,131.53,9425400.0,,
"Aug 8, 2025",132.14,133.11,131.79,132.96,132.42,11015800.0,,
"Aug 7, 2025",132.99,133.21,130.55,131.65,131.11,10318000.0,,
"Aug 6, 2025",130.18,131.7,130.1,131.52,130.99,10167000.0,,
"Aug 5, 2025",131.63,131.74,129.76,130.06,129.54,11176000.0,,
"Aug 4, 2025",129.74,131.17,129.74,131.15,130.62,12377000.0,,
"Aug 1, 2025",129.94,129.99,127.89,128.54,128.02,19438000.0,,
"Jul 31, 2025",134.01,134.01,130.73,131.37,130.84,16414400.0,,
"Jul 30, 2025",132.18,132.79,131.3,132.34,131.81,13934600.0,,
"Jul 29, 2025",132.9,133.63,131.82,132.04,131.51,13739000.0,,
"Jul 28, 2025",131.49,132.07,131.23,132.04,131.51,11517600.0,,
"Jul 25, 2025",130.65,131.32,130.38,130.99,130.47,8002000.0,,
"Jul 24, 2025",130.46,130.95,129.96,130.7,130.17,12159600.0,,
"Jul 23, 2025",129.74,130.32,128.97,130.15,129.62,10091800.0,,
"Jul 22, 2025",130.51,130.6,128.48,129.4,128.88,13448800.0,,
"Jul 21, 2025",130.59,131.51,130.44,130.62,130.09,9246600.0,,
"Jul 18, 2025",131.03,131.07,130.1,130.45,129.92,10281000.0,,
"Jul 17, 2025",129.51,130.74,129.26,130.53,130.0,11955000.0,,
"Jul 16, 2025",129.0,129.43,127.4,129.35,128.83,17782600.0,,
"Jul 15, 2025",129.31,129.62,128.91,128.96,128.43,15657000.0,,
"Jul 14, 2025",127.61,128.13,126.6,127.82,127.3,8125200.0,,
"Jul 11, 2025",127.88,128.68,127.72,127.93,127.41,9239000.0,,
"Jul 10, 2025",129.24,129.35,127.82,128.49,127.97,9988600.0,,
"Jul 9, 2025",128.6,129.4,127.96,128.91,128.39,12933600.0,,
"Jul 8, 2025",128.13,128.39,127.61,128.15,127.63,15715200.0,,
"Jul 7, 2025",127.99,128.32,126.89,127.46,126.95,11560800.0,,
"Jul 3, 2025",127.5,128.87,127.45,128.48,127.96,7112800.0,,
"Jul 2, 2025",125.17,126.89,125.08,126.81,126.3,11950200.0,,
"Jul 1, 2025",126.21,126.47,124.63,125.49,124.98,15144800.0,,
"Jun 30, 2025",126.49,126.96,125.88,126.61,126.1,13365200.0,,
"Jun 27, 2025",125.88,126.36,124.82,125.39,124.88,12196600.0,,
