Date,Open,High,Low,Close,Adj Close,Volume,Event,Event Value
"Apr 8, 2026",148.2,149.18,147.53,149.11,149.11,3147997.0,,
"Apr 7, 2026",146.91,146.91,144.88,146.57,146.57,10219100.0,,
"Apr 6, 2026",146.28,147.14,145.76,146.28,146.28,7272600.0,,
"Apr 2, 2026",146.93,148.36,146.27,146.81,146.81,11087900.0,,
"Apr 1, 2026",147.22,148.76,146.95,147.73,147.73,16899200.0,,
"Mar 31, 2026",144.81,146.75,144.6,146.61,146.61,17866000.0,,
"Mar 30, 2026",144.3,144.63,143.43,143.82,143.82,14799700.0,,
"Mar 27, 2026",145.72,145.8,143.07,143.26,143.26,12932200.0,,
"Mar 26, 2026",145.75,146.91,145.63,145.74,145.74,13321000.0,,
"Mar 25, 2026",145.69,146.69,145.35,146.24,146.24,17743300.0,,
"Mar 24, 2026",143.95,145.3,143.38,144.79,144.79,24230900.0,,
"Mar 23, 2026",,,,,,,Dividend,0.595
"Mar 23, 2026",146.56,146.77,144.6,144.77,144.77,21815400.0,,
"Mar 20, 2026",146.48,147.02,144.66,145.33,144.74,16582200.0,,
"Mar 19, 2026",147.14,148.09,146.3,146.61,146.01,16913000.0,,
"Mar 18, 2026",148.72,149.05,147.01,147.14,146.54,15565400.0,,
"Mar 17, 2026",151.22,151.85,149.54,149.64,149.03,11938600.0,,
"Mar 16, 2026",150.75,151.73,150.38,151.01,150.39,10896600.0,,
"Mar 13, 2026",151.04,152.3,149.67,149.79,149.18,15129300.0,,
"Mar 12, 2026",151.95,152.49,150.03,150.16,149.55,15670500.0,,
"Mar 11, 2026",152.84,153.16,151.94,152.85,152.22,12503800.0,,
"Mar 10, 2026",154.41,154.54,153.01,153.15,152.52,17247500.0,,
"Mar 9, 2026",151.78,154.55,151.13,154.26,153.63,18675700.0,,
"Mar 6, 2026",152.78,152.99,150.95,152.7,152.07,18174000.0,,
"Mar 5, 2026",155.13,155.7,152.72,153.91,153.28,20476400.0,,
"Mar 4, 2026",156.74,157.58,155.67,157.05,156.41,12745700.0,,
"Mar 3, 2026",156.66,157.39,155.0,156.74,156.1,21432600.0,,
"Mar 2, 2026",159.19,159.84,157.99,158.53,157.88,18641400.0,,
"Feb 27, 2026",156.74,160.24,156.71,160.2,159.54,14250100.0,,
"Feb 26, 2026",158.07,158.17,156.09,157.42,156.78,15344400.0,,
"Feb 25, 2026",157.87,159.23,157.62,157.83,157.18,11011500.0,,
"Feb 24, 2026",158.01,158.5,157.31,157.87,157.22,12887100.0,,
"Feb 23, 2026",157.13,158.68,157.13,158.54,157.89,17053500.0,,
"Feb 20, 2026",157.0,157.25,155.87,156.82,156.18,13368500.0,,
"Feb 19, 2026",157.2,157.72,156.19,157.26,156.62,11226900.0,,
"Feb 18, 2026",157.2,157.8,156.48,157.67,157.02,11886300.0,,
"Feb 17, 2026",158.03,158.91,157.13,157.37,156.73,14881100.0,,
"Feb 13, 2026",156.52,158.8,156.52,157.67,157.02,16647900.0,,
"Feb 12, 2026",156.21,157.42,155.48,156.0,155.36,19409100.0,,
"Feb 11, 2026",155.18,156.38,154.38,156.25,155.61,11738400.0,,
"Feb 10, 2026",156.66,157.16,155.24,155.33,154.69,11103400.0,,
"Feb 9, 2026",157.57,158.15,156.03,156.32,155.68,11823000.0,,
"Feb 6, 2026",156.04,157.8,155.91,157.71,157.06,13616200.0,,
"Feb 5, 2026",155.46,156.97,154.68,154.84,154.21,21421600.0,,
