Date,Open,High,Low,Close,Adj Close,Volume,Event,Event Value
"Apr 8, 2026",112.25,112.61,110.69,110.85,110.85,3996097.0,,
"Apr 7, 2026",108.11,108.18,106.45,107.77,107.77,8924900.0,,
"Apr 6, 2026",107.93,109.23,107.93,109.04,109.04,6908800.0,,
"Apr 2, 2026",107.46,109.53,107.1,108.15,108.15,9684700.0,,
"Apr 1, 2026",109.69,110.5,108.74,109.8,109.8,14467600.0,,
"Mar 31, 2026",107.23,109.41,106.71,108.98,108.98,19487500.0,,
"Mar 30, 2026",106.61,107.17,105.19,105.66,105.66,10192000.0,,
"Mar 27, 2026",108.31,108.31,105.45,105.68,105.68,10454700.0,,
"Mar 26, 2026",110.05,110.9,108.74,108.83,108.83,7981000.0,,
"Mar 25, 2026",111.16,111.91,110.1,110.73,110.73,9412900.0,,
"Mar 24, 2026",109.04,110.32,108.95,109.68,109.68,9032200.0,,
"Mar 23, 2026",,,,,,,Dividend,0.216
"Mar 23, 2026",109.78,111.43,109.59,110.12,110.12,14779100.0,,
"Mar 20, 2026",109.43,109.43,107.15,107.74,107.52,12297000.0,,
"Mar 19, 2026",109.63,110.34,108.87,109.7,109.48,12496400.0,,
"Mar 18, 2026",112.5,112.99,110.44,110.57,110.35,10979200.0,,
"Mar 17, 2026",112.78,113.65,112.72,113.18,112.95,6767000.0,,
"Mar 16, 2026",111.79,112.87,111.62,112.2,111.98,9307600.0,,
"Mar 13, 2026",112.17,112.49,110.72,110.86,110.64,11708600.0,,
"Mar 12, 2026",113.12,113.43,111.47,111.52,111.3,12088200.0,,
"Mar 11, 2026",114.83,115.7,113.57,114.14,113.91,10959300.0,,
"Mar 10, 2026",114.61,115.73,113.95,114.44,114.21,11784400.0,,
"Mar 9, 2026",112.94,114.93,110.99,114.59,114.36,16278500.0,,
"Mar 6, 2026",114.78,114.99,113.64,114.44,114.21,16348500.0,,
"Mar 5, 2026",115.92,117.08,115.52,116.55,116.32,14880400.0,,
"Mar 4, 2026",115.09,116.63,114.88,116.39,116.16,11496700.0,,
"Mar 3, 2026",113.1,114.77,111.81,114.36,114.13,20773100.0,,
"Mar 2, 2026",114.03,115.73,113.72,115.42,115.19,18205600.0,,
"Feb 27, 2026",116.01,116.94,115.65,116.86,116.63,9636200.0,,
"Feb 26, 2026",117.23,117.66,116.14,117.05,116.82,9560900.0,,
"Feb 25, 2026",116.98,117.59,116.51,117.09,116.86,8776100.0,,
"Feb 24, 2026",115.4,117.06,115.32,116.74,116.51,11320500.0,,
"Feb 23, 2026",116.64,116.77,113.86,114.99,114.76,14604800.0,,
"Feb 20, 2026",115.93,117.65,115.61,117.45,117.21,16652900.0,,
"Feb 19, 2026",116.33,116.55,115.58,116.24,116.01,9482400.0,,
"Feb 18, 2026",116.11,117.76,115.94,117.02,116.79,9719500.0,,
"Feb 17, 2026",115.98,116.32,114.43,116.04,115.81,9623000.0,,
"Feb 13, 2026",116.0,117.15,115.53,116.18,115.95,10836200.0,,
"Feb 12, 2026",118.41,119.2,115.83,116.13,115.9,16374300.0,,
"Feb 11, 2026",118.45,118.88,117.29,117.76,117.52,10214100.0,,
"Feb 10, 2026",117.76,119.22,117.7,118.33,118.09,9920700.0,,
"Feb 9, 2026",117.43,118.21,116.4,117.55,117.31,10975700.0,,
"Feb 6, 2026",115.69,118.16,115.4,117.99,117.75,20971100.0,,
"Feb 5, 2026",118.55,118.83,117.07,117.51,117.27,13290000.0,,
"Feb 4, 2026",121.1,121.54,119.35,120.1,119.86,13915400.0,,
"Feb 3, 2026",122.08,122.76,119.82,120.99,120.75,12467800.0,,
"Feb 2, 2026",120.74,122.41,120.12,121.97,121.73,8483000.0,,
"Jan 30, 2026",121.26,122.0,120.54,121.17,120.93,11706400.0,,
"Jan 29, 2026",122.47,122.6,120.41,121.19,120.95,12410400.0,,
